Code	Name of the game
1		light-bot_2.0
2		light-bot
3		twin_cat_warrior
4		twin_cat_warrior_2
5		fireboy_and_watergirl_in_the_forest_temple
6		fireboy_and_watergirl_in_the_light_temple
7		fireboy_and_watergirl_in_the_ice_temple
8		fireboy_and_watergirl_in_the_forest_temple
9		red_ball_4
10		monster_truck_destroyer
11		earn_to_die
12		earn_to_die_2012
13		dynamite_blast
14		dynamite_blast_2
15		stream_master_unlimited
16		bad_piggies
17		future_buddy
18		doodle_god
19		doodle_god_2
20		doodle_devil
21		genesis
22		bloons_tower_defense_4
23		bloons_tower_defense_4_expansion
24		sas_zombie_assault
25		sas_zombie_assault_2
26		sas_zombie_assault_3
27		sas_zombie_assault_2_insane_asylum
28		strike_force_heroes
29		monster_flood
30		uphill_rush
31		uphill_rush_2
32		uphill_rush_3
33		uphill_rush_4
34		uphill_rush_5
35		tractor_mania
36		truck_mania
37		train_mania
38		snail_bob_3
39		stickman_freeride
40		monster_truck_demolisher
41		ninjago_spinjitzu_snakedown
42		crash_bandicoot
43		super_mario_flash
44		sonic
45		super_mario_battle
46		ben_10_to_the_rescue
47		girls_go_fashion_party
48		maquillaje_de_superestrella
49		party_shop
50		barbie_ride
51		hamster_hotel
52		christmas_party_prep_makeover
53		nitro_ninjas
54		the_magician
55		pac-xon
56		super_smash_flash
57		mario_rain_race
58		tequila_zombies_2
59		counter_strike_1.6
60		el_coyote_y_correcaminos
61		liquid_measure_2
62		escape_de_la_prision
63		pelotas_de_futbol
64		carrera_a_muerte
65		carrera_atv
66		jurassic_omelet
67		shape_switcher
68		rush_rush
69		dibbles_2
70		hedgehog_launch
71		tiros_libres
72		the_king_of_fighters_wing
73		dragon_ball_fierce_fighting
74		stunt_master
75		penguin_diner_2
76		plantas_vs_zombies
77		big_head_football
78		aparca_mi_gran_camion_3
79		jacksmith
80		ben_10_persecucion_salvaje
81		dragon_ball_kart
82		puzzle_motos_tuning
83		qoosh
84		renegade_racing
85		super_amontonador_2
86		super_mario_star_scramble_3
87		editor_de_niveles_2
88		stickman_downhill
89		acrobacias_en_avalanchas
90		artesanias_de_betsy_mosaicos
91		bomb_it_5
92		asesino_tactico
93		billar_billiards
94		portero_estrella
95		strike_force_heroes_2
96		xenos
97		bob_esponja_dilema_de_entrega
98		la_rex
99		palacio_de_choques
